"","who_post","who_retweet","rt_tweet"
"80","BBCNews","YildirimNews","Fire at immigration detention centre http://t.co/nFUvAX3og1 via @BBCNews #UK"
"81","BBCNews","YildirimNews","Man charged in migrant worker probe http://t.co/OlK5UrDtXH via @BBCNews #UK"
"82","BBCNews","KevinMinott","MPs debate immigration curbs plan http://t.co/MAPEMXTl5x RT @BBCNews UK"
"83","BBCNews","YildirimNews","MPs debate immigration curbs plan http://t.co/NU3wFafltL via @BBCNews #UK"
"84","BBCNews","YildirimNews","Police apologise for immigrant tweet http://t.co/wLRQh9f3VZ via @BBCNews #UK"
"85","BBCNews","YildirimNews","Immigrants 'need free A&amp;E care' http://t.co/HgWzlvQjb9 via @BBCNews #UK"
"86","BBCNews","sam4wong","#Immigrants need free life-saving A&amp;E care, MPs told: via @BBCNews http://t.co/o2BEWIpY5g #NHS @archangelolill @NHAparty @MigrantVoiceUK #UK"
"87","BBCPolitics","121Visas","Theresa May: Living in UK to get tougher for illegal immigrants http://t.co/G3l830oWi4 via @BBCPolitics"
"88","BBCr4today","Greekboy8","RT: @BBCr4today Immigrant Docs &amp; Nurses do a lot more good, than Immigrant tourists do harm. @Skynews @BBCNews #NHS @David_Cameron @Uklabour"
"89","BCATNamikoH","CAT2012News","UK Immigration Rules change http://t.co/FuF0PUFwCO via @BCATNamikoH"
"90","BadboyBNP","boynat","RT @BadboyBNP: Immigration is destroying Britain. Vote BNP or accept White British Genocide. #WR ... http://t.co/NvYZl4UjzA"
"91","Balkaninsight","BruceKAnderson","via @Balkaninsight Bulgarian Immigrants No Burden on German Welfare http://t.co/oTwDyBf1Iz"
"92","BarackObama","samba87","Gd look with that!! RT @BarackObama: It's #TimeForRealWork in Congress. It's time for vote on #immigration in House: http://t.co/AukMQiDj9n"""
"93","BarackObama","FzDrew","fuk up RT @BarackObama: Retweet if you want the House of Representatives to solve real problems, not create new ones. #immigration"
"94","BarnsGreg","JillFavero","Awful. @_iamalik: Racism in Israel against African immigrants is even worse than you could imagine. http://t.co/BqWk0RuKfH via @BarnsGreg"
"95","BenedictEvans","SocialDani","Yikes RT @BenedictEvans US 2009 spending bill requires a minimum of 33k illegal immigrants 2 b locked up @ all times http://t.co/tFBUkvePen"
"96","BirdLife_News","saunieindiego","Can the rufa Red Knot -a long-distance migrant- survive? http://t.co/GXukZ7TwmH via @BirdLife_News #migration #extinction #BirdsMatter"
"97","BizPacReview","TempeTeaParty","ICE agents leader turns up heat on Obama immigration scandal http://t.co/5yJiuK8yYq via @BizPacReview"
"98","BizPacReview","PatVPeters","ICE agents leader turns up heat on Obama immigration scandal http://t.co/OY9uKDHLES via @BizPacReview"
"99","Bloomberg","ImmigNewsDigest","Forget Free Trade. Try Free #Immigration. via @Bloomberg http://t.co/FgUkuY9L2l"
"100","BloombergView","smkumailakbar","I'm all for it! Forget Free Trade. Try Free #Immigration. http://t.co/7yEPLKAKy0 via @BloombergView #America #EU #UK come on!"
"101","Bonn1eGreer","JennetteArnold","RT @Bonn1eGreer: You never know what's going to be asked. But with UKIP on panel you'll be asked one on immigration  #bbcqt"
"102","BookishComforts","ireadindie","What Goodreads New Policies &amp; the Migration to BookLikes Could Mean for the Book Blogging ... http://t.co/uQEf9VUKi7 via @BookishComforts"
"103","BradfordWinn","ManometCenter","RT @BradfordWinn: Answer: about every 10 minutes during #peregrine migration on @LittleSSI on the #Georgia Coast. http://t.co/k94JukyJFg"
"104","Bradford_TandA","sam4wong","@DavidWardMP blasts immigration Bill: via @Bradford_TandA: http://t.co/gKytA00Vp7 #NHS #ImmigrationBill @archangelolill @NHAparty @UNICEF_UK"
"105","BrankoMilan","Go_Festival","RT @BrankoMilan: Half of the ppl living in London now were not born in UK. Paul Collier on  migration.| The Economist http://t.co/34tMRYYH23"
"106","BrankoMilan","OMF_UK","RT @BrankoMilan: Half of the ppl living in London now were not born in UK. Paul Collier on  migration.| The Economist http://t.co/s4QEcnuSlv"
"107","BreitbartNews","NBPC2554","Exclusive: Border Patrol Union VP Says Feds 'Cooking Books' on Illegal Immigration http://t.co/jdrrRxyuKQ via @BreitbartNews"
"108","BreitbartNews","CrumpledTees","House Dems to Introduce Immigration Legislation on Day 2 of Gov't Shutdown  http://t.co/wDL92uKGwC via @BreitbartNews"
"109","BreitbartNews","mosaicgodess","House Dems to Introduce Immigration Legislation on Day 2 of Gov't Shutdown  http://t.co/8guKlM2s1J via @BreitbartNews"
"110","BreitbartNews","lynn_lwrightpcd","House Dems to Introduce Immigration Legislation on Day 2 of Gov't Shutdown  http://t.co/S4TcUK7vBt via @BreitbartNews"
"111","BreitbartNews","juanitamoutlaw","Pelosi: We'll Do 'Whatever It Takes' to Conference with Senate on Immigration http://t.co/7uk2zMNXGv via @BreitbartNews To GOP-DONT BE FOOLS"
"112","BreitbartNews","Texastweetybird","Pelosi: We'll Do 'Whatever It Takes'2 Conference with Senate on Immigration 
#NoAMNESTY #NoAMNESTY
http://t.co/HeSkPuYKUk via @BreitbartNews"
"113","BreitbartNews","AKFielding","Yes, I told You So. Jerry Brown: Illegal Immigrant Driver's Licenses 'Only the First Step' http://t.co/uK6wjKrFwF via @BreitbartNews"
"114","BreitbartNews","CtgjrJr","Government shut down for WW2 vets, but open for immigration rallies http://t.co/nzpLuK7sp6 #Convo via @BreitbartNews"
"115","BreitbartNews","nogirlemen","Dem Congressmen, Amnesty Activists Arrested in Immigration Protest http://t.co/Z7bOUkCSDp via @BreitbartNews"
"116","BreitbartNews","TehachapiHomes","Fraud, Identity Theft, &amp; Forgery: Study Lists Laws Regularly Broken by Illegal Immigrants 
http://t.co/KQoauKyRSM via @BreitbartNews"
"117","BreitbartNews","sirjamesw","Immigration Agents Rip House Lawmakers Pushing Amnesty http://t.co/f1iguKEwp0 via @BreitbartNews"
"118","BreitbartNews","zappahawk","Exclusive: Immigration Agents Rip House Lawmakers Pushing Amnesty http://t.co/n9O6UkRi88 via @BreitbartNews"
"119","BreitbartNews","lsferguson","Obama: End Shutdown So We Can Pass Comprehensive Immigration Reform http://t.co/qUKwslY6Nu via @BreitbartNews"
"120","BreitbartNews","ErikH1776","Obama to Push Immigration Reform 'Day After' Shutdown, Debt Ceiling Resolved http://t.co/5UkXHmeEW3 via @BreitbartNews#NJ2AS#NRA#2A"
"121","BreitbartNews","cmegalodon69","Immigration Agents: Obama 'in No Position' to Demand Amnesty http://t.co/9PuKCCGXhD via @BreitbartNews"
"122","BreitbartNews","hoosierbarb","Exclusive: Obama Inspires GOP Congressman to Drop Immigration Reform http://t.co/RfCdUkGfVe via @BreitbartNews"
"123","BreitbartNews","Marks2Cents","NONSTARTER: Immigration Activists to Launch 'Week of Escalation' to Pressure GOP  http://t.co/LjkuKHrE8N via @BreitbartNews"
"124","BreitbartNews","NYPolJunkie","Good, #NOAMNESTY.  House GOP Waves Off Immigration Reform http://t.co/Pk7saoswUK via @BreitbartNews"
"125","BreitbartNews","only4menu","Paul Ryan Co-Writing Bill Legalizing America's Illegal Immigrants http://t.co/UKbEdfOnyb via @BreitbartNews #usmc #ccot #benghazi #tcot"
"126","BreitbartNews","anna12061","PUKE ALERT Paul Ryan Co-Writing Bill Legalizing America's Illegal Immigrants http://t.co/8jcdQPbbxO via @BreitbartNews"
"127","BreitbartNews","lsferguson","Soros Has Donated More than $100M to 'Immigrant Rights' Groups http://t.co/EUKi10Mxcy via @BreitbartNews"
"128","BreitbartNews","CrumpledTees","National Journal: Tea Party Only Thing Stopping Comprehensive Immigration Reform http://t.co/s2uukjH19Z via @BreitbartNews"
"129","BreitbartNews","JuanNewsome","Pro-Amnesty GOP Rep: Boehner Planning Immigration Votes 'in Next Month or So' http://t.co/ZDg0aMMUkm via @BreitbartNews"
"130","BreitbartNews","goatman42749","CA Rep. Becomes First Republican to Support Pelosi's Immigration Bill  http://t.co/VLiSyuK2Q7 via @BreitbartNews"
"131","BreitbartNews","kaarent","National Review Editor: Rubio's Immigration Turnaround Historic http://t.co/UktcDdc1xI via @BreitbartNews"
"132","BreitbartNews","PrefabSprout10","CA Rep. Becomes First Republican to Support Pelosi's Immigration Bill  http://t.co/GUKFThYD84 via @BreitbartNews Let's primary @JeffDenham!"
"133","BreitbartNews","ErikH1776","Tea Party Patriots Co-Founder 'Glad' Rubio Opposes Senate Immigration Bill http://t.co/QBSFbRukKL via @BreitbartNews  #2A #NJ2AS #NRA"
"134","BreitbartNews","anna12061","Exclusive: Tea Party Patriots Co-Founder 'Glad' Rubio Opposes Senate Immigration Bill http://t.co/kjpHE7juKE via @BreitbartNews"
"135","BritCits","chris8tine","RT @BritCits Nobel prizewinner slams #UK #migration rules saying advances wouldn't be possible under today's rules  http://t.co/5nciC4k8x4 &"
"136","BritCits","ColinYeo1","RT @BritCits: Nobel prize winner slams UK's #immigration rules saying his developments wouldnt be possible under tod& http://t.co/meTIgTCVAx"
"137","ByBrianBennett","NumbersUSA","Like this http://t.co/X1UDDSRRuK RT @ByBrianBennett Obama to GOP on immigration: 'Take a closer look at the polls' http://t.co/zkdu6ubTyi &"
"138","CBSNews","Michaelfabian74","Obama to House GOP: Pass immigration reform this year http://t.co/lfreUKX6c9 via @CBSNews"
"139","CICIC_CICDI","HeritageStudent","RT @CICIC_CICDI: #UKs new #immigration rules signal more welcoming approach to international students http://t.co/ojjdfhfnYD @icefmonitor"
"140","CNN","iRSSNews","#News #MostRecent Opinion: UK's message to immigrants: Stay out http://t.co/tEgIiuZXvt via @CNN"
"141","CNNOpinion","igalaciman","""#UK's message to immigrants: Stay out!"" via @CNNOpinion http://t.co/iwJbaslTC6"
"142","CXStephanie","Captain_Bhangra","RT @CXStephanie: Immigration is sound, the country's not full, immigrants work dead hard.

UKIP nutters need to get in the bin. ENDS

#bbcqt"
"143","CanardduKiosque","Photonautes","#Lampedusa : naturalisations posthumes et rescapés hors-la-loi. http://t.co/NHl5hEKvn6 via @CanardduKiosque #Italie #Naufrage #immigration"
"144","CarbonatedTv","joeyyosa","Saudi Arabia: A Nightmare For Migrant Domestic Workers http://t.co/zEJpbHUkEa via @CarbonatedTv"
"145","CatalystSEM","KarensRomance","SEO Best Practices for Platform Migration http://t.co/QCSUK4exnY via @CatalystSEM"
"146","CathyHennebury","Harley_Woody","Migrant Worker: Well, I'm going to have to take you back to the UK for the band I'm featur... http://t.co/VJdYiEheJO via @CathyHennebury"
"147","Channel4News","sam4wong","Scrap #immigration texts say men targeted in error: via @Channel4News: http://t.co/La2IN93upb @UNHCRUK @Refugees @AsylumAid @MigrantVoiceUK"
"148","Checkpoints559","CeL_eNe","Fukd up people gone get deported RT @Checkpoints559: Checkpoint at Kingscanyon &amp; Clovis in Fresno (Immigration on location) #Designated"
"149","CitizenRadio","godammitkitty","RT @CitizenRadio Mental health, uncover cop spied on #ows, 200 arrested at immigration rally in DC + UK media fail http://t.co/ZeFinUOa0L"
"150","CityAM","UKVISAS","The Immigration Bill risks harming liberty and Britains economy http://t.co/nkC7ov0htb via @CityAM"
"151","CityAM","Cochis3","The Immigration Bill risks harming liberty and Britains economy http://t.co/clRNjokeKG via @CityAM"
"152","CityAM","GoodallGiles","The Immigration Bill risks harming liberty and Britains economy http://t.co/IjBEIVf6g2 via @CityAM"
"153","CityAM","newlondoners","The Immigration Bill risks harming liberty and Britains economy http://t.co/LXrPjX6y7q via @CityAM"
"154","CityAM","pat_saini","The Immigration Bill risks harming liberty and Britains economy http://t.co/deI2mm1jWD via @CityAM"
"155","CityAM","LouiseShawLD","The Immigration Bill risks harming liberty and Britains economy http://t.co/CsXvOizjzm via @CityAM"
"156","CityAM","Mancman10","The Immigration Bill risks harming liberty and Britains economy http://t.co/dfL7GVg9rq via @CityAM"
"157","CityAM","TurnbullRuther","The Immigration Bill risks harming liberty and Britains economy http://t.co/DKPTZHcpfj via @CityAM"
"158","CityAM","jeffery2116","Immigration Bill risks harming liberty and Britains economy http://t.co/X0BVoxc0cd via @CityAM more propaganda / indoctrination in UK &amp; US"
"159","CityAM","jgunson1989","The Immigration Bill risks harming liberty and Britains economy http://t.co/Hjtj7sgEFi via @CityAM"
"160","CofCC76","SpringboroTea","@CofCCOhio: RT @CofCC76: UK immigration minister tells illegal alien to go home on live television - http://t.co/TN2BjW9fXh #tcot"
"161","Colorlines","NewsAndThen","RT @Colorlines: Obama Says He'll Be Pushing for Immigration Reform Vote http://t.co/5Tq5UkmgTM"
"162","Colvinius","mmechomski","Good ban  RT @Colvinius: UK  advertising watchdog bans Government's ""go home immigrants"" vans http://t.co/OymnBLDOX2 & via @iankatz1000"
"163","ConversationUK","jjohnjewell","Less is more when it comes to migrant rights http://t.co/KVrfN4rYiA via @ConversationUK"
"164","ConversationUK","RichardCR56","Less is more when it comes to migrant rights http://t.co/Yzk8mrD55N via @ConversationUK"
"165","ConversationUK","TheDragonflyC","Getting the facts about refugee and migrant mental health in Australia http://t.co/3kJQKZSzIY via @ConversationUK"
"166","ConversationUK","MariaDuggan","Great article about disconnect between immigration facts and public perceptions. http://t.co/8u90yXB5B8 via @ConversationUK"
"167","ConversationUK","CherryMakes","Immigration is not the problem. *Imagined* immigration is the problem. Great piece via @ConversationUK http://t.co/acPytoqWVc"
"168","ConversationUK","libdembodders","Hard Evidence: how does the public feel about immigration? http://t.co/6vm40iha0o via @ConversationUK &lt; useful article with facts not spin"
"169","ConversationUK","val_hudson","Evidence: how does public feel about immigration? http://t.co/fcDO93SRmk via @ConversationUK&lt; policy driven by what ppl think shd happen"
"170","ConversationUK","Instedconsult","""Immigration"" - excellent analysis of the gap between perception and reality -  http://t.co/TeBTpjeMP4 via @ConversationUK"
"171","ConversationUK","smitajamdar","MT@CherryMakes: Immigration is not the problem. *Imagined* immigration is the problem via @ConversationUK http://t.co/bXR7jWh3L5&lt;good post"
"172","ConversationUK","jaywalking","Hard Evidence: how does the public feel about immigration? http://t.co/sJCr3lfRVi via @ConversationUK"
"173","ConversationUK","adamhewitt198","Suberb piece on 'imagined' vs 'actual' immigration &amp; immigrants. Sadly I doubt it'll go viral. http://t.co/wpUr4k161X via @ConversationUK"
"174","ConversationUK","jjohnjewell","Hard Evidence: how does the public feel about immigration? http://t.co/Vd5BiNP9EI via @ConversationUK"
"175","ConversationUK","IanCummins9","Hard Evidence: how does the public feel about immigration? http://t.co/bu6quHFj2N via @ConversationUK"
"176","ConversationUK","YasminAli","A case of ""emotional innumeracy?"" Hard Evidence: how does the public feel about immigration? http://t.co/8OkEYIfYjR via @ConversationUK"
"177","ConversationUK","literarti","On 'imagined immigration' 'emotional innumeracy' &amp; the gap between immigration fantasy &amp; reality http://t.co/CY9AVsjAdT via @ConversationUK"
"178","ConversationUK","akamalaccas1","Hard Evidence: how does the public feel about immigration? http://t.co/TsZdFVufcS via @ConversationUK"
"179","ConversationUK","akamalaccas1","Hard Evidence: how does the public feel about immigration? http://t.co/vd4hNSjKwT via @ConversationUK"
"180","ConversationUK","nandosigona","Hard Evidence: how does the public feel about immigration? http://t.co/h91Czg48WE via @ConversationUK"
"181","ConversationUK","DuncanChambers1","Hard Evidence: how does the public feel about immigration? http://t.co/YETsoK0WCh via @ConversationUK"
"182","ConversationUK","helen_barratt","Evidence vs estimates: how does the public feel about immigration? http://t.co/GvaXwUijiA via @ConversationUK"
"183","ConversationUK","RoyalStatSoc","Hard Evidence: how does the public feel about immigration? http://t.co/WpCFMyRoj8 via @ConversationUK"
"184","ConversationUK","MigrantVoiceUK","Hard Evidence: how does the public feel about immigration? http://t.co/TIUVgzCfyi via @ConversationUK"
"185","ConversationUK","nwayo","Hard Evidence: how does the public feel about immigration? http://t.co/cszJ5eLOoX via @ConversationUK"
"186","ConversationUK","MartinRuhs","Hard Evidence: how does the public feel about immigration? http://t.co/aPMXNRNOIF via @ConversationUK"
"187","ConversationUK","phillcole40","Hard Evidence: how does the public feel about immigration? http://t.co/cgCBfqMCzy via @ConversationUK"
"188","ConversationUK","E_Houghton","Hard Evidence: how does the public feel about immigration? http://t.co/VyXlXZ7ZFd via @ConversationUK"
"189","ConversationUK","Nick_Pettigrew_","Hard Evidence how does the public feel about immigration? Great summary of issues @BobbyIpsosMORI http://t.co/Co0BB3RZmU via @ConversationUK"
"190","ConversationUK","RichardCR56","Hard Evidence: how does the public feel about #immigration? http://t.co/oRUUN2gmMS via @ConversationUK"
"191","ConversationUK","brit_newsman","Hard Evidence: How does the public feel about UK immigration? http://t.co/5UmRYnvR2W via @ConversationUK"
