"","who_retweet","who_post"
"126","TheoKL","DrEoinCl"
"127","xtc_uk","DrEoinCl"
"128","BlackArawak","Dreuz_1fo"
"129","Conserva_Tweet","DrudgeReport"
"130","June4th","EDLNewsXtra"
"131","noxhanti","EDLNewsXtra"
"132","williamjordann","EPinUK"
"133","PhuketDailyNews","Easy_Branches"
"134","Competia","ElizabethOnFood"
"135","richard_neale","Entota"
"136","ERICBARBOSA11","EricBarbosa11"
"137","ERICBARBOSA11","EricBarbosa11"
"138","Paulcrofts","EwaDudaMikulin"
"139","Orgetorix","FRANCE24"
"140","filsdeproust","FT"
"141","NRBrizzle","FT"
"142","Jimcoleman33","FT"
"143","happoldconsult","FT"
"144","britishfuture","FT"
"145","DearsonWinyard","FT"
"146","katracey1","FT"
"147","DebraYankUK","FT"
"148","APPGMigration","FT"
"149","ADungus","FT"
"150","thedwright1","FT"
"151","HackneyAbbott","FT"
"152","RLR373","FT"
"153","syneidesys","FT"
"154","nomukik","FT"
"155","bauhinialee","FT"
"156","BosKarczewska","FT"
"157","SandraNavidi","FT"
"158","BoryanaDz","FT"
"159","DearsonWinyard","FT"
"160","PerssonElsa","FinancialTimes"
"161","Roghaydonmitch","FraserNelson"
"162","sam4wong","FullFact"
"163","Westengland","FullFact"
"164","McnabbTeddy","FullFact"
"165","AcademicLounge","G_Voskopoulos"
"166","widtvoet","Gareth_D_Morgan"
"167","Kell1973","Georgenecs"
"168","g33komon","GigaOm"
"169","GlobeNewsFeed","GlobeNewsFeed"
"170","fragrantfriend","GoPetition"
"171","NottsPolitics","GoodwinMJ"
"172","7HenriettaSt","Guardian"
"173","YildirimNews","Guardian"
"174","jovwall","Guardian"
"175","YildirimNews","Guardian"
"176","HIASChicago","HIASrefugees"
"177","denis_acfa","HeatherKlimchuk"
"178","richcasa","HuffPostCollege"
"179","edwardcorrea","HuffPostPol"
"180","ojc1234","HuffPostPol"
"181","Independent02","HuffPostPol"
"182","EpisodeGuideTV","HuffPostTV"
"183","MarvinsCorridor","HuffPostUK"
"184","ideas4thefuture","HuffPostUK"
"185","hughieconnor","HuffPostUK"
"186","ratnaraja","HuffPostUK"
"187","The_UK_Migrant","HuffPostUK"
"188","jane_fieldsend","HuffPostUK"
"189","phillcole40","HuffPostUK"
"190","dougskb","HuffPostUK"
"191","kamzk87","HuffPostUK"
"192","BecciSeaborne","HuffPostUK"
"193","erinhengel","HuffPostUK"
"194","CaringSoul786","HuffPostUK"
"195","mbrad_26","HuffPostUK"
"196","samuele983","HuffPostUK"
"197","AdamYosef","HuffPostUK"
"198","willgtucker","HuffPostUK"
"199","markhillary","HuffPostUK"
"200","itsFoxyFox","HuffPostUK"
"201","garysout","HuffPostUK"
"202","VicsHaley","HuffPostUK"
"203","jessicakalbag","HuffPostUK"
"204","sabba_c","HuffPostUK"
"205","Staircase2","HuffPostUK"
"206","dunstablian","HuffPostUK"
"207","applam1","HuffPostUK"
"208","sczakon","HuffPostUK"
"209","Lee_Holmes8","HuffPostUK"
"210","MissleeCarlisle","HuffPostUK"
"211","ImmgtnAdviceSvc","HuffPostUK"
"212","UKVISAS","HuffPostUK"
"213","hadenougheu","HuffPostUK"
"214","BetterOffOut","HuffPostUK"
"215","elaine_renton25","HuffPostUK"
"216","applam1","HuffPostUK"
"217","madalina_irimia","HuffPostUK"
"218","seafarer1847","HuffPostUK"
"219","sallysolihull","HuffPostUK"
"220","blueblue321","HuffPostUK"
"221","DOGLAWRENCE","HuffPostUK"
"222","BananeZeus","HuffPostUK"
"223","applam1","HuffPostUK"
"224","Natalie91231732","HuffPostUK"
"225","Psychjim","HuffPostUK"
"226","antodechav","HuffPostUK"
"227","ptsiaras","HuffPostUK"
"228","emsar7","HuffPostUK"
"229","shail1960","HuffPostUK"
"230","mahmoodikramhas","HuffPostUK"
"231","sasastro","HuffPostUK"
"232","SociologyMagee","HuffPostUK"
"233","Lance63","HuffPostUK"
"234","hen50","HuffPostUK"
"235","garysout","HuffPostUK"
"236","KazzJenkins","HuffPostUK"
"237","mehnar","HuffPostUK"
"238","killhopelaw","HuffPostUK"
"239","SaraDelsBrandt","HuffPostUK"
"240","DearsonWinyard","HuffPostUK"
"241","edcdkass","HuffPostUKPol"
"242","EmileYusupoff","HuffPostUKPol"
"243","ThatTennantGuy","HuffPostUKPol"
"244","HelloPoli","HuffPostUKPol"
"245","shailesh23660","HuffPostUKPol"
"246","R_3_M","HuffPostUKPol"
"247","SocialPolicyUK","HuffPostUKPol"
"248","CoronaDiAngeli","HuffPostUKPol"
"249","CoronaDiAngeli","HuffPostUKPol"
"250","NIESRorg","HuffPostUKPol"
"251","adresources","HuffPostUKPol"
"252","NewlandChase","HuffPostUKPol"
"253","mehnar","HuffPostUKPol"
"254","SusanneDeumig1","HuffPostUKPol"
"255","BrentCAB","HuffPostUKPol"
"256","AndrewCrines","HuffPostUKPol"
"257","mikeobrien4mp","HuffPostUKPol"
"258","Bridgeanne","HuffPostUKPol"
"259","syneidesys","HuffPostUKPol"
"260","TurnbullRuther","HuffPostUKPol"
"261","NewlandChase","HuffPostUKPol"
"262","UkImmigMagazine","HuffPostUKPol"
"263","shailesh23660","HuffPostUKPol"
"264","DearsonWinyard","HuffPostUKPol"
"265","Wirralpix","HuffPostUKPol"
"266","amalum","HuffPostUKPol"
"267","nomis1066","HuffPostUKPol"
"268","garysout","HuffPostUKPol"
"269","ImmgtnAdviceSvc","HuffPostUKPol"
"270","APPGMigration","HuffPostUKPol"
"271","MigrantVoiceUK","HuffPostUKPol"
"272","Staircase2","HuffPostUKPol"
"273","TurnbullRuther","HuffPostUKPol"
"274","Jon_Danzig","HuffPostUKPol"
"275","rachelcerysd","HuffPostUKPol"
"276","The_UK_Migrant","HuffPostUKPol"
"277","johnjackson5","HuffPostUKPol"
"278","TurnbullRuther","HuffPostUKPol"
"279","TurnbullRuther","HuffPostUKPol"
"280","TheSamhita","HuffPostUKPol"
"281","ImmgtnAdviceSvc","HuffPostUKPol"
"282","johnjackson5","HuffPostUKPol"
"283","markosmond2","HuffPostUKPol"
"284","alnoorladha","HuffPostUKPol"
"285","NewlandChase","IBTimesUK"
"286","ricardonotes","ImmPolicyCenter"
"287","BobbyDigital777","Immigration_Now"
"288","TwittaTownMayor","Immigrationask"
"289","Hybridposts","Independent"
"290","ICMC_news","Independent"
"291","TomBVickers","JFCrisp"
"292","happoldconsult","Jimcoleman33"
"293","rfw753","KafirCrusaders"
"294","AmisIran","KatarinaBz"
"295","Jen_Watkiss","KellyMarieLD"
"296","nickareay","Kevin_Maguire"
"297","hamstarr","Kevin_Maguire"
"298","molintosh","Kevin_Maguire"
"299","txclcpolicy","LCurtright"
"300","iMSnvr","LDNCalling"
"301","AgnesLeroux","LSEEuroppblog"
"302","ritapasi","LSEpoliticsblog"
"303","ShellyMitchy","LSEpoliticsblog"
"304","TheodoreBrownPM","LawNewsUK"
"305","FAIRImmigration","LeahBarkoukis"
"306","maggieoneill9","LeftFootFwd"
"307","shaneheneghan","LeftFootFwd"
"308","redrumlisa","LeftFootFwd"
"309","J_Bloodworth","LeftFootFwd"
"310","alastairsloan","LeftFootFwd"
"311","RebelUK2013","LeftFootFwd"
"312","Matt_Diner","London24"
"313","Olivia_Jardine","LouiseMensch"
"314","LewisMiles","LouiseMensch"
"315","DannyVinik","LukeRussert"
"316","torysmasher","MENNewsdesk"
"317","DrewMTips","MSalasBlair"
"318","Protejayy","MaddyDuke"
"319","masonfallon","MailOnline"
"320","MigrantVoiceUK","MailOnline"
"321","pat_saini","MailOnline"
"322","bobthenihilist","MailOnline"
"323","WorthingUKIP","MailOnline"
"324","SimoneLaurey","MailOnline"
"325","Antonvlimburg","MailOnline"
"326","CasAnnStephens","MailOnline"
"327","TandemVipera","MailOnline"
"328","ImmgtnAdviceSvc","MailOnline"
"329","APPGMigration","MailOnline"
"330","CataNigra","MailOnline"
"331","R_3_M","MailOnline"
"332","MigrantVoiceUK","MailOnline"
"333","Gazonice","MailOnline"
"334","Nm4nz3s","MailOnline"
"335","heather_venter","MailOnline"
"336","bobfrost","MailOnline"
"337","mamapanda58","MailOnline"
"338","Mike_Hookem","MailOnline"
"339","McDonald_69","MailOnline"
"340","Rupert_Travis","MailOnline"
"341","ONCEIHADACOMRAD","MailOnline"
"342","Juliet777777","MailOnline"
"343","GalaReiver","MailOnline"
"344","TheZeidgeist","MailOnline"
"345","jummy03617421","MailOnline"
"346","BluebellAlice","MailOnline"
"347","ImmgtnAdviceSvc","MailOnline"
"348","Eurosceptic1","MailOnline"
"349","UkipaLotMoreIan","MailOnline"
"350","RichFelstead","MailOnline"
"351","seafarer1847","MailOnline"
"352","Bethbeauchamp","MailOnline"
"353","jdl_uk_official","MailOnline"
"354","gwjesty","MailOnline"
"355","jummy03617421","MailOnline"
"356","SwetangJoshi","MailOnline"
"357","LondonPatriots","MailOnline"
"358","rfw753","MailOnline"
"359","rfw753","MailOnline"
"360","_harrisonmurray","MailOnline"
"361","Eurosceptic1","MailOnline"
"362","Eurosceptic1","MailOnline"
"363","Eurosceptic1","MailOnline"
"364","Eurosceptic1","MailOnline"
"365","Juliet777777","MailOnline"
"366","mpax1","MarilouGeorge"
"367","PippaCrerar","Markfergusonuk"
"368","hombrebrillante","MatinaStevis"
"369","BarbTwedtZinn","MetroUK"
"370","Triradiance","Metro_TV"
"371","JoHayesLibDem","MigObs"
"372","adelewilliams","MigrantVoiceUK"
"373","emilyfchurchill","MigrantVoiceUK"
"374","nonsumdignus","MinuteMenNews"
"375","reaganpal157","MinuteMenNews"
"376","TsegahunDessal1","MiriamABerger"
"377","DailyMirror","MirrorPolitics"
"378","DailyMirror","MirrorPolitics"
"379","adampipe","MoJGovUK"
"380","RandomlyLondon","Move_Hub"
"381","coloneljdawg","NRO"
"382","DFAmakobe","NationImmigrant"
"383","DailyBaller","NeilMunroDC"
"384","energyinsider","New_Europe"
"385","wayned_wayne","News2"
"386","jan6724","News24"
"387","TV5JournalisMO","News5E"
"388","UKVisaSolicitor","NewsRepublic"
"389","UKVisaSolicitor","NewsRepublic"
"390","UKVisaSolicitor","NewsRepublic"
"391","TexasSecede","Newsmax_Media"
"392","Squillanzo","Nigel_Farage"
"393","Frances_Coppola","Noahpinion"
"394","OanaRomocea","ObserverMike"
"395","OanaRomocea","ObserverMike"
"396","Bridge_Project1","POLITICO"
"397","JuHong89","POLITICO"
"398","paulwiggins","PaulbernalUK"
"399","thejackanory","PaulbernalUK"
"400","rgpillay","PaulbernalUK"
"401","Popenici","Phil_Baty"
"402","MOrtizUribe","PochoDotCom"
"403","kinfolk_info","PoliticalTicker"
"404","sam4wong","Politics_co_uk"
"405","Advocarte","Politics_co_uk"
"406","Floripedes","Politis_fr"
"407","juliamercier","PositiveNewsUK"
"408","Sirbasjoe","PostTV"
"409","snowballthrower","Pushtweeting"
"410","Competia","QSRweb"
"411","MigrantVoiceUK","RT@Politics_co_uk"
"412","MigrantVoiceUK","RT@andybell5news"
"413","MigrantVoiceUK","RT@vittoriolonghi"
"414","zeynib","RT""@BBCAfrica"
"415","SVDiDDY","RT""@IFukedPrecious"
"416","GOT_bluejock","RT""@LouiseMensch"
"417","MigrantVoiceUK","RT""@SkyNews"
"418","ardisetiaku_Vht","RT""@adiiyulianto"
"419","brightblack76","RT@HuffPostUKCom"
"420","ukipteesside","RT@Iainmckie_UKIP"
"421","blaise_paddy","RT@Jabulani_21"
"422","PetersWooll","RT@Politics_co_uk"
"423","ukipteesside","RT@RedStand"
"424","albertjohn","RT@SPIEGEL_English"
"425","ProfMESmith","RT@Usherwood"
"426","lucio_brignoli","RT@electionista"
"427","Uda_Yandi","RT@iMeL_HanJaeMin"
"428","ProfMESmith","RT@ottocrat"
"429","EverythingUKIP","RedHotSquirrel"
"430","jayofmeth","RedStand"
"431","scottpreston32","RedStand"
"432","WorthingUKIP","RedStand"
"433","CWS_global","ReligPolitics"
"434","iain_00","Rigzone"
"435","UKIPDandH","RodUkip"
"436","txclcpolicy","SABizJournal"
"437","riserefugee","SBSNews"
"438","Southwoldian","SPIEGELONLINE"
"439","LEAPoverty","ShaunTymon"
"440","my_leehyukjae","ShinSeba"
"441","SteveTea","SkyNews"
"442","JamieSpurway","SkyNews"
"443","rtmarsh","SlideShare"
"444","MuireannNiR","SocialPolicyUK"
"445","stijbob","StirringTrouble"
"446","longbettlisa","StirringTrouble"
"447","HenDoxs","Sum_Of_Us"
"448","Shan_Barclay","Sum_Of_Us"
"449","SussexGlobal","SussexUni"
"450","INPROL","TR_Foundation"
"451","diggindirt","TakePart"
"452","_Chris_Adams","Telegraph"
"453","Peterpanohno","Telegraph"
"454","UKIPSandwell","Telegraph"
"455","Paul_Giraud_","Telegraph"
"456","bencorde","Telegraph"
"457","Stuey91","Telegraph"
"458","TrevorMalsbury","Telegraph"
"459","hermannkelly","Telegraph"
"460","AdelDarwish","Telegraph"
"461","seansaunders1","Telegraph"
"462","UKIPWarrington","Telegraph"
"463","Bordercrim","Telegraph"
"464","Meeks666","Telegraph"
"465","hayworthUK","Telegraph"
"466","EmilioEscobar93","Telegraph"
"467","UKIP_Daily","Telegraph"
"468","UKIPChristchurc","Telegraph"
"469","ukipoldham","Telegraph"
"470","darreljorstad","Telegraph"
"471","mulledwhine","Telegraph"
"472","soho1997","Telegraph"
"473","sp_ward","Telegraph"
"474","Carpe177","Telegraph"
"475","MargotLJParker","Telegraph"
"476","theboybutler","Telegraph"
"477","GeoffUkip","Telegraph"
"478","ChrisPain_ukip","Telegraph"
"479","PatrickHeren","Telegraph"
"480","ALucieSmith","Telegraph"
"481","UKIP_Daily","Telegraph"
"482","bobthenihilist","Telegraph"
"483","Peter_J_Farmer","Telegraph"
"484","APPGMigration","Telegraph"
"485","CllrRobinHC","Telegraph"
"486","Mike_Hookem","Telegraph"
"487","Rebel_Rock_On","Telegraph"
"488","hayworthUK","Telegraph"
"489","UKIP_Daily","Telegraph"
"490","frasermatthew","Telegraph"
"491","AppianINAT","Telegraph"
"492","Eurosceptic1","Telegraph"
"493","star_pumpkin","Telegraph"
"494","UKIP_Daily","Telegraph"
"495","Jim_Millar","Telegraph"
"496","MigrantVoiceUK","Telegraph"
"497","SocialistAgenda","Telegraph"
"498","ostercywriter","Telegraph"
"499","Gildersomesteve","Telegraph"
"500","ironside_uk","Telegraph"
"501","RayPyngotes","Telegraph"
"502","margielondon","Telegraph"
"503","cheekynurse11","Telegraph"
"504","NileGardiner","Telegraph"
"505","Delost24","Telegraph"
"506","AdelDarwish","Telegraph"
"507","UKIPSusannah","Telegraph"
"508","Medtechcerb","Telegraph"
"509","DugaldMacMillan","Telegraph"
"510","clivepivo","Telegraph"
"511","ingridmajer","Telegraph"
"512","jedqcepe","Telegraph"
"513","DJSiri","Telegraph"
"514","Peterpanohno","Telegraph"
"515","uk_expat","Telegraph"
"516","bencorde","Telegraph"
"517","DarkJab91","Telegraph"
"518","Jorge_orwell","Telegraph"
"519","SnakeDjm","Telegraph"
"520","hayworthUK","Telegraph"
"521","Brownloather","Telegraph"
"522","henrysikoki","Telegraph"
"523","aliaj_j","Telegraph"
"524","Eurosceptic1","Telegraph"
"525","Eurosceptic1","Telegraph"
"526","Journo24","Telegraph"
"527","Rogertrucks","Telegraph"
"528","Rogertrucks","Telegraph"
"529","POWERSEEKER2020","Telegraph"
"530","Delost24","Telegraph"
"531","Medtechcerb","Telegraph"
"532","PhilRay68","Telegraph"
"533","clivepivo","Telegraph"
"534","NeedaSolicitor","Telegraph"
"535","SleepyPenguin1","Telegraph"
"536","n_paloff","Telegraph"
"537","bencorde","Telegraph"
"538","bencorde","Telegraph"
"539","CETCStephenG","Telegraph"
"540","Mardconsult","Telegraph"
"541","irinaursu","Telegraph"
"542","Uptotherewithit","Telegraph"
"543","eddywardfoster","Telegraph"
"544","SubtleCliff","Telegraph"
"545","saramo","Telegraph"
"546","hayworthUK","Telegraph"
"547","ostercywriter","Telegraph"
"548","hayworthUK","Telegraph"
"549","mzvarul","Telegraph"
"550","bmitchellwrites","Telegraph"
"551","theobhe","Telegraph"
"552","Rebel_Rock_On","Telegraph"
"553","clouzot_alive","Telegraph"
"554","sam4wong","Telegraph"
"555","ImmgtnAdviceSvc","Telegraph"
"556","WorthingUKIP","Telegraph"
"557","FRamabama","Telegraph"
"558","FRamabama","Telegraph"
"559","x_emmalouise","Telegraph"
"560","DearsonWinyard","Telegraph"
"561","nickblakeyork","Telegraph"
"562","immsollawyers","Telegraph"
"563","Taxpayer001","Telegraph"
"564","jlosmex","Telegraph"
"565","Rogertrucks","Telegraph"
"566","jameskirkup","Telegraph"
"567","Eurosceptic1","Telegraph"
"568","Mike_Hookem","Telegraph"
"569","stowlawn","Telegraph"
"570","ViewsOfYouth","Telegraph"
"571","yetti1963","Telegraph"
"572","Lance63","Telegraph"
"573","DefinitiveUK","Telegraph"
"574","tachyonics","Telegraph"
"575","Nationalnewshub","Telegraph"
"576","benrileysmith","TelegraphBlogs"
"577","billymac1964","TelegraphNews"
"578","centreforlondon","TheEconomist"
"579","NavyNmySoul","TheHill"
"580","LindseyRWalker","TheHill"
"581","ACT_Migration","TheInfoDaily"
"582","IrepOutof9jacom","TheNaijaNewsCo"
"583","twiter9jiria","TheNaijaNewsCo"
"584","Deejay_perez","TheNaijaNewsCo"
"585","NG_DailyNews","TheNaijaNewsCo"
"586","toxicamen","TheNaijaNewsCo"
"587","WeReporter","TheNaijaNewsCo"
"588","AshewoMusic","TheNaijaNewsCo"
"589","Thedoncsc","TheNieuws"
"590","andylancaster","ThePantau"
"591","Battsby","TheUkipper"
"592","sam4wong","TheVoiceNews"
"593","KayBrannigan","ThomasPride"
"594","ModdityDodds","ThomasPride"
"595","DavidWatkinson4","ThomasPride"
"596","mykkym1","ThomasPride"
"597","OpPinkPower","TruthIzSexy"
"598","inkednaturalist","Turtledreams"
"599","cullysmom","TwitchyTeam"
"600","bobprice101","UK"
"601","CMSnewyork","UKCCMC"
"602","top1percentile","UKIP"
"603","NNorfBroadUKIP","UKIP"
"604","star_pumpkin","UKIPDaily"
"605","jlsed","UKSupremeCourt"
"606","ColinYeo1","UKSupremeCourt"
"607","rnlpeel","Upworthy"
"608","JoeManning60","Upworthy"
"609","ottocrat","Usherwood"
"610","MrManselThomas","VICEUK"
"611","partridge_matt","VICEUK"
"612","dvdmckay","VICEUK"
"613","sam4wong","VoiceofRussiaUK"
"614","UPlayTooMuch","WILLFUKUUP"
"615","Askforhost","WebHostingTalk"
"616","BottleBlondellg","World_Wildlife"
"617","WilliamSpengowe","Yah"
"618","jondknight","YahooNews"
"619","rosario0829","YahooNews"
"620","SolicitorAndrew","YahooNewsUK"
"621","snieguoleghuman","YahooNewsUK"
"622","faithultima","YahooNewsUK"
"623","natnollid","YahooNewsUK"
"624","tonyholt3","YahooNewsUK"
"625","deelambert36","YahooNewsUK"
"626","chesthigh","YahooNewsUK"
"627","Buzieboy","YahooNewsUK"
"628","Omedla","YahooNewsUK"
"629","GrannyWils","YahooNewsUK"
"630","sandrareston","YahooNewsUK"
"631","WilliamSpengowe","YahooNewsUK"
"632","Phillip59634865","YahooNewsUK"
"633","zabekh","YahooNewsUK"
"634","ilovethatfilm","YahooNewsUK"
"635","glykosymoritis","YiorgosVa"
"636","danclayton75","YouTube"
"637","UKVisaSolicitor","YouTube"
"638","Saniset","YouTube"
"639","WorldCAR_fans","YouTube"
"640","WorldCAR_fans","YouTube"
"641","Futuregrads","YouTube"
"642","ONtvChannels","YourNewsUKtv"
"643","howarthm","YvetteCooperMP"
"644","shalimarguru","_TurkeyNews"
"645","900470462","_feedspot"
"646","sbvet1","agriculturalstu"
"647","NNRai","allvoices"
"648","jwbidwell","americamag"
"649","Dalus87","amz_harajuku"
"650","OGAccountancy","bbc"
"651","_Awesome__moi","bbcbreaking"
"652","notiven","bbcnews"
"653","notiven","bbcnews"
"654","ricardonotes","benwinograd"
"655","rezakhorshidi","bi_contributors"
"656","Bigislandmedia","bigislandmedia"
"657","DohertyRA","bmagnanti"
"658","EraseThisTweet","bmagnanti"
"659","TheTaniaJenkins","brainpicker"
"660","embena","buzzfeed"
"661","mustysaddiq","cchukudebelu"
"662","blondiesa","change"
"663","jimcaponey","change"
"664","stillgame2012","change"
"665","realqueenvic","change"
"666","Jessyca1804","change"
"667","Jessyca1804","change"
"668","DagmarNoble","change"
"669","RiseUpForPeople","change"
"670","Saskia_HM","change"
"671","AmisIran","cladublanc"
"672","kj208942","conservativebyt"
"673","GowerEcon","coxtwilightzone"
"674","ekapros","csyllas"
"675","CreativCulinary","cynthiahapidayz"
"676","MoberlyG","dailycaller"
"677","kdmansberger","dailycaller"
"678","ekassenyi","dailymonitor"
"679","800NG_","dailymonitor"
"680","anite_anite","dailymonitor"
"681","bkdanstan","dailymonitor"
"682","danwibg","dailymonitor"
"683","Sheekey53","dailymonitor"
"684","Ptebahabwa","dailymonitor"
"685","greisaine","dailymonitor"
"686","DavisMuhangi","dailymonitor"
"687","lourdeltwinomug","dailymonitor"
"688","JustusAKarts","dailymonitor"
"689","CallingEngland","dalshield67"
"690","loftylion9","danroan"
"691","DayaniCristal","deadline"
"692","miss_s_b","delicious"
"693","Ideas4ADIs","delmont_id"
"694","MacM101","delmont_id"
"695","mcfwarren","denverpost"
"696","mcfwarren","denverpost"
"697","NottsPolitics","drhmwilliams"
"698","NottsPolitics","drhmwilliams"
"699","COP19CMP9Warsaw","dw_english"
"700","highbg","dw_english"
"701","HerrGraeff","dw_english"
"702","AgnesKis11","dw_english"
"703","kathiebennett","eastanglianedl"
"704","centreforlondon","economist"
"705","xtc_uk","electionista"
"706","davidscris","electionista"
"707","jonathanfryer","emcmillanscott"
"708","IsabelleTannous","euromove"
"709","multi5mba","eventbrite"
"710","GiaIbarra","farah_way"
"711","ParlGov","feedly"
"712","ArcherGarrett","feedly"
"713","Red__Rover","feedly"
"714","ParlGov","feedly"
"715","bukik","fit_star"
"716","llautrid","fletcherr"
"717","bernallaw","foxnews"
"718","BoardingArea","garyleff"
"719","rmpilar","gmanews"
"720","OmoNsasi","gohsuket"
"721","alentop","guardian"
"722","RickysFlower","guardian"
"723","danwibg","guardian"
"724","Bordercrim","guardian"
"725","RoseAnnaStar","guardian"
"726","GerryNos","guardian"
"727","sebkraemer","guardian"
"728","fullofeels","guardian"
"729","AndyBalmer","guardian"
"730","AlllyMango","guardian"
"731","ilanbass","guardian"
"732","aralaaf","guardian"
"733","gmiau_northwest","guardian"
"734","thedharmablues","guardian"
"735","Bordercrim","guardian"
"736","HenDoxs","guardian"
"737","eivlion","guardian"
"738","BabbeyGeography","guardian"
"739","johnstrange2008","guardian"
"740","paologerbaudo","guardian"
"741","danwibg","guardian"
"742","mosabbir","guardian"
"743","Bordercrim","guardian"
"744","PARRY1956","guardian"
"745","alantravis40","guardian"
"746","karldjohn","guardian"
"747","drhmwilliams","guardian"
"748","drhmwilliams","guardian"
"749","cllrakhan","guardian"
"750","RickyHolco","guardian"
"751","Westengland","guardian"
"752","NottsPolitics","guardian"
"753","hr_immigration","guardian"
"754","LilaWanda","guardian"
"755","uk_immigration","guardian"
